date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:24	72769/72769	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:24%20GMT	https://bradley.edu/academic/departments/csis/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/index.html	(from )
14:47:24	429/429	---M--	200	added ('OK')	text/plain	etag:W/dot:dcd91f09-7a07-47ee-bd13-778094605b33:1561486475000:429	https://bradley.edu/robots.txt		(from )
14:47:25	46391/46391	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2020:47:25%20GMT	https://www.bradley.edu/global/images/facebook_defaultPreview_v2.png	C:/My%20Web%20Sites/Bradley%20Copy/www.bradley.edu/global/images/facebook_defaultPreview_v2.0.delayed	(from https://bradley.edu/academic/departments/csis/)
14:47:25	5801/5801	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2002%20Mar%202025%2020:47:25%20GMT	https://kit.fontawesome.com/56822513b0.js	C:/My%20Web%20Sites/Bradley%20Copy/kit.fontawesome.com/56822513b0.js	(from https://bradley.edu/academic/departments/csis/)
14:47:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2002%20Mar%202025%2020:47:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Bradley%20Copy/www.googletagmanager.com/gtm.25445.delayed	(from https://bradley.edu/academic/departments/csis/)
14:47:26	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2002%20Mar%202025%2020:47:26%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Bradley%20Copy/connect.facebook.net/en_US/fbevents.3.delayed	(from https://bradley.edu/academic/departments/csis/)
14:47:26	246160/246160	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2002%20Mar%202025%2020:47:26%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Bradley%20Copy/connect.facebook.net/en_US/fbevents.js	(from https://bradley.edu/academic/departments/csis/)
14:47:27	56253/56253	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Mar%202025%2020:47:27%20GMT	https://sc-static.net/scevent.min.js	C:/My%20Web%20Sites/Bradley%20Copy/sc-static.net/scevent.min.js	(from https://bradley.edu/academic/departments/csis/)
14:47:28	28974/28974	---M-Z	200	added ('OK')	application/javascript	etag:%22faee18cc26d8088e57d2f4230f52ccd8%22	http://siteimproveanalytics.com/js/siteanalyze_67771434.js	C:/My%20Web%20Sites/Bradley%20Copy/siteimproveanalytics.com/js/siteanalyze_67771434.js	(from https://bradley.edu/academic/departments/csis/)
14:47:31	240184/240184	---MCZ	200	added ('OK')	text/javascript	etag:W/%2234363864b9b3c1b7319f11f2d4ac4ef8%22	http://cdn.rlets.com/capture_configs/74d/276/52a/0c54b239c141b2f5d8f289d.js	C:/My%20Web%20Sites/Bradley%20Copy/cdn.rlets.com/capture_configs/74d/276/52a/0c54b239c141b2f5d8f289d.js	(from https://bradley.edu/academic/departments/csis/)
14:47:31	132367/132367	---M-Z	200	added ('OK')	text/javascript	etag:d938a5ea692b75b9c6a7858c4a1d3957	https://n527.bradley.edu/script.js	C:/My%20Web%20Sites/Bradley%20Copy/n527.bradley.edu/script.js	(from https://bradley.edu/academic/departments/csis/)
14:47:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:29%20GMT	https://bradley.edu/academic/departments/csis/major	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major.9.delayed	(from https://bradley.edu/academic/departments/csis/)
14:47:31	55191/55191	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:31%20GMT	https://bradley.edu/academic/departments/csis/major/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:31%20GMT	https://bradley.edu/academic/departments/csis/major/cs	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/cs.a.delayed	(from https://bradley.edu/academic/departments/csis/)
14:47:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:31%20GMT	https://bradley.edu/academic/departments/csis/major/cis	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/cis	(from https://bradley.edu/academic/departments/csis/)
14:47:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:31%20GMT	https://bradley.edu/academic/departments/csis/major/cgt	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/cgt	(from https://bradley.edu/academic/departments/csis/)
14:47:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:31%20GMT	https://bradley.edu/academic/departments/csis/major/data	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/data	(from https://bradley.edu/academic/departments/csis/)
14:47:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:32%20GMT	https://bradley.edu/academic/departments/csis/major/mobile	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/mobile	(from https://bradley.edu/academic/departments/csis/)
14:47:32	67425/67425	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:32%20GMT	https://bradley.edu/academic/departments/csis/major/cs/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/cs/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:32%20GMT	https://bradley.edu/academic/departments/csis/major/security	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/security	(from https://bradley.edu/academic/departments/csis/)
14:47:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:32%20GMT	https://bradley.edu/academic/departments/csis/minor	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/minor	(from https://bradley.edu/academic/departments/csis/)
14:47:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:33%20GMT	https://bradley.edu/academic/departments/csis/minor/cgt	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/minor/cgt	(from https://bradley.edu/academic/departments/csis/)
14:47:33	66694/66694	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:33%20GMT	https://bradley.edu/academic/departments/csis/major/cis/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/cis/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:33%20GMT	https://bradley.edu/academic/departments/csis/minor/csis	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/minor/csis	(from https://bradley.edu/academic/departments/csis/)
14:47:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:33%20GMT	https://bradley.edu/academic/departments/csis/minor/ds	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/minor/ds	(from https://bradley.edu/academic/departments/csis/)
14:47:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:34%20GMT	https://bradley.edu/academic/departments/csis/gradprograms	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms	(from https://bradley.edu/academic/departments/csis/)
14:47:34	54366/54366	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:34%20GMT	https://bradley.edu/academic/departments/csis/major/cgt/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/cgt/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:34%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/cs	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/cs.15.delayed	(from https://bradley.edu/academic/departments/csis/)
